"등록일","시도","시군구","업종","축종","영업상태","개소","규모","동수"
20180401,"경기도","경기도 포천시","가축사육업                    ","육우","폐업",8,5603.73,18
20180401,"부산광역시","부산광역시 강서구","가축사육업                    ","육계","폐업",5,5235,15
20180401,"경상남도","경상남도 의령군","가축사육업                    ","젖소","휴업",1,1004.1,6
20180401,"충청북도","충청북도 옥천군","가축사육업                    ","산란계","휴업",1,1166.6,7
20180401,"경상북도","경상북도 청도군","가축사육업                    ","육우","정상",5,2901,17
20180401,"경기도","경기도 양평군","가축사육업                    ","젖소","폐업",13,10207.86,36
20180401,"경상북도","경상북도 상주시","가축사육업                    ","염소","정상",6,2081.34,7
20180401,"경기도","경기도 화성시","가축사육업                    ","젖소","휴업",13,17614.46,37
20180401,"경상남도","경상남도 김해시","가축사육업                    ","산양","정상",5,598,5
20180401,"충청남도","충청남도 아산시","가축사육업                    ","산양","정상",4,735,5
20180401,"경기도","경기도 가평군","가축사육업                    ","육계","휴업",1,1603.4,5
20180401,"대구광역시","대구광역시 달성군","가축사육업                    ","육계","정상",22,10329,47
20180401,"강원도","강원도 홍천군","가축사육업                    ","염소","폐업",1,1560,4
20180401,"충청남도","충청남도 당진시","가축사육업                    ","사슴","폐업",3,512,3
20180401,"경기도","경기도 평택시","가축사육업                    ","오리","정상",4,11599.6,25
20180401,"충청남도","충청남도 당진시","가축사육업                    ","꿩","정상",1,300,1
20180401,"경상북도","경상북도 의성군","가축사육업                    ","염소","정상",16,4502.16,25
20180401,"경기도","경기도 연천군","가축사육업                    ","거위","정상",2,971.52,8
20180401,"전라북도","전라북도 남원시","가축사육업                    ","육우","휴업",3,1614.4,7
20180401,"전라남도","전라남도 순천시","가축사육업                    ","젖소","폐업",17,19266,42
20180401,"경상북도","경상북도 청도군","가축사육업                    ","산란계","폐업",2,3397,14
20180401,"충청남도","충청남도 청양군","가축사육업                    ","산란계","정상",6,7465.2,13
20180401,"경상북도","경상북도 청도군","가축사육업                    ","돼지","폐업",15,9980.38,43
20180401,"충청남도","충청남도 논산시","가축사육업                    ","육우","폐업",3,2513.15,12
20180401,"인천광역시","인천광역시 강화군","가축사육업                    ","산란계","폐업",3,3214,7
20180401,"경상남도","경상남도 함안군","가축사육업                    ","돼지","휴업",7,5726.98,25
20180401,"경상북도","경상북도 칠곡군","가축사육업                    ","젖소","폐업",4,4041.45,15
20180401,"경상북도","경상북도 고령군","가축사육업                    ","한우"," ",1,9713.87,8
20180401,"광주광역시","광주광역시 남구","가축사육업                    ","육계","정상",3,130,3
20180401,"인천광역시","인천광역시 서구","가축사육업                    ","육계","폐업",7,2512.7,11
20180401,"경상북도","경상북도 청도군","가축사육업                    ","육계","정상",13,9124.2,40
20180401,"경기도","경기도 양주시","가축사육업                    ","돼지","휴업",4,2628.1,14
20180401,"충청북도","충청북도 진천군","가축사육업                    ","산양","폐업",1,808.11,1
20180401,"경기도","경기도 파주시","가축사육업                    ","메추리","정상",1,601.25,2
20180401,"대전광역시","대전광역시 대덕구","가축사육업                    ","한우","정상",6,1093,9
